id (DMA),year,month,week,after,close, sales ,,,,,,,,,,
92,2011,11,48,1,0,"57,871",,,,,,,,,,
92,2011,11,49,1,0,"74,316",,,,,,,,,,
92,2011,12,50,1,0,"22,727",,,,,,,,,,
92,2011,12,51,1,0,"39,031",,,,,,,,,,
92,2011,12,52,1,0,"27,710",,,,,,,,,,
92,2011,12,53,1,0,"23,831",,,,,,,,,,
92,2012,1,1,1,0,"12,278",,,,,,,,,,
92,2012,1,2,1,0,"8,854",,,,,,,,,,
92,2012,1,3,1,0,"13,661",,,,,,,,,,
92,2012,1,4,1,0,"14,146",,,,,,,,,,
92,2012,1,5,1,0,"24,562",,,,,,,,,,
92,2012,1,6,1,0,"9,995",,,,,,,,,,
92,2012,2,7,1,0,"11,436",,,,,,,,,,
92,2012,2,8,1,0,"11,083",,,,,,,,,,
92,2012,2,9,1,0,"22,309",,,,,,,,,,
92,2012,2,10,1,0,"30,780",,,,,,,,,,
92,2012,3,11,1,0,"8,411",,,,,,,,,,
92,2012,3,12,1,0,"8,520",,,,,,,,,,
92,2012,3,13,1,0,"6,677",,,,,,,,,,
92,2012,3,14,1,0,"9,467",,,,,,,,,,
93,2011,4,17,0,0,"145,458",,,,,,,,,,
93,2011,4,18,0,0,"121,850",,,,,,,,,,
93,2011,5,19,0,0,"180,928",,,,,,,,,,
93,2011,5,20,0,0,"192,289",,,,,,,,,,
93,2011,5,21,0,0,"162,990",,,,,,,,,,
93,2011,5,22,0,0,"140,930",,,,,,,,,,
93,2011,5,23,0,0,"65,341",,,,,,,,,,
93,2011,6,24,0,0,"91,500",,,,,,,,,,
93,2011,6,25,0,0,"175,064",,,,,,,,,,
93,2011,6,26,0,0,"77,479",,,,,,,,,,
93,2011,6,27,0,0,"166,309",,,,,,,,,,
93,2011,7,28,0,0,"64,114",,,,,,,,,,
93,2011,7,29,0,0,"61,388",,,,,,,,,,
93,2011,7,30,0,0,"66,540",,,,,,,,,,
93,2011,7,31,0,0,"67,751",,,,,,,,,,
93,2011,8,32,0,0,"72,609",,,,,,,,,,
93,2011,8,33,0,0,"101,244",,,,,,,,,,
93,2011,8,34,0,0,"106,675",,,,,,,,,,
93,2011,8,35,0,0,"85,018",,,,,,,,,,
93,2011,8,36,0,0,"123,392",,,,,,,,,,
93,2011,9,37,0,0,"111,867",,,,,,,,,,
93,2011,9,38,0,0,"119,146",,,,,,,,,,
93,2011,9,39,0,0,"78,766",,,,,,,,,,
93,2011,9,40,0,0,"98,447",,,,,,,,,,
93,2011,10,41,0,0,"135,825",,,,,,,,,,
93,2011,10,42,0,0,"93,451",,,,,,,,,,
93,2011,10,43,1,0,"123,763",,,,,,,,,,
93,2011,10,44,1,0,"66,065",,,,,,,,,,
93,2011,10,45,1,0,"104,087",,,,,,,,,,
93,2011,11,46,1,0,"127,385",,,,,,,,,,
93,2011,11,47,1,0,"196,472",,,,,,,,,,
93,2011,11,48,1,0,"216,943",,,,,,,,,,
93,2011,11,49,1,0,"319,233",,,,,,,,,,
93,2011,12,50,1,0,"181,529",,,,,,,,,,
93,2011,12,51,1,0,"65,282",,,,,,,,,,
93,2011,12,52,1,0,"141,587",,,,,,,,,,
93,2011,12,53,1,0,"97,511",,,,,,,,,,
93,2012,1,1,1,0,"63,536",,,,,,,,,,
93,2012,1,2,1,0,"60,316",,,,,,,,,,
93,2012,1,3,1,0,"44,092",,,,,,,,,,
93,2012,1,4,1,0,"108,520",,,,,,,,,,
93,2012,1,5,1,0,"64,221",,,,,,,,,,
93,2012,1,6,1,0,"69,928",,,,,,,,,,
93,2012,2,7,1,0,"63,884",,,,,,,,,,
93,2012,2,8,1,0,"103,432",,,,,,,,,,
93,2012,2,9,1,0,"120,884",,,,,,,,,,
93,2012,2,10,1,0,"67,189",,,,,,,,,,
93,2012,3,11,1,0,"75,557",,,,,,,,,,
93,2012,3,12,1,0,"71,309",,,,,,,,,,
93,2012,3,13,1,0,"67,247",,,,,,,,,,
93,2012,3,14,1,0,"78,041",,,,,,,,,,
94,2011,4,17,0,1,"7,251",,,,,,,,,,
94,2011,4,18,0,1,"9,301",,,,,,,,,,
94,2011,5,19,0,1,"10,260",,,,,,,,,,
